,id,sim1,sim2,sim3,sim4
380,5246432,33333684,33333443,16407773,11781174
381,5253599,16118606,37788787,33079450,33349552
382,5253639,4645834,4656316,5118006,4990462
383,5265322,9698728,11721758,29603794,28729429
384,5272363,1229614,1833950,34727793,27737495
385,5272598,16773876,5750637,5042231,6440242
386,5276634,2696834,5129422,5186205,5186159
387,5282397,29044253,29044242,35557893,35661112
388,5288111,9685415,11560696,25381551,33836101
389,5302410,20485337,20608112,3902423,20573629
390,5319766,30378730,30486251,37792385,27405538
391,5331445,36006499,26768425,10304845,19918177
392,5343407,11750389,11231419,4817784,22028335
393,5348037,23209834,22636241,16036564,5355703
394,5348703,5355795,5377342,5376240,5376182
395,5355703,22636241,16036564,23209834,5348037
396,5355795,5376240,5376182,5348703,5377342
397,5369727,19112052,1024986,10638481,3433708
398,5376182,5376240,5355795,5348703,5377342
399,5376240,5355795,5376182,5377342,5348703
400,5377148,17488498,31216096,16977692,16730755
401,5377342,5376240,5348703,5355795,5376182
402,5405213,1643945,8727077,38341489,24784280
403,5406502,25586550,21014924,22979766,33199451
404,5424565,5428153,5709242,16680449,27581596
405,5428153,5424565,13950769,6856988,5709242
406,5428995,33461309,12787541,3829545,33464444
407,5436010,5667427,29581333,13094043,29663028
408,5446857,5448209,5052014,5233415,33349733
409,5448209,5233415,5052014,5446857,33349733
410,5464246,6300577,29443536,7015796,25634551
411,5472242,8477283,9891697,17956150,15720684
412,5493930,5494971,14191894,24303300,28071344
413,5494971,5493930,14191894,24303300,30776327
414,5495447,28760983,29081157,25493161,35885925
415,5504230,6607671,15492056,21658483,15475788
416,5540894,38836039,13485944,34187044,32391749
417,5543423,6723509,27004873,23907882,21031388
418,5551665,36354920,6261313,14435012,6020248
419,5573458,16650721,6603464,7811392,10210475
420,5584157,5609608,31361482,30940363,10474800
421,5597753,21402350,1646909,25440553,13088479
422,5598946,11364449,31532527,10004389,36679339
423,5607234,27915805,26768425,16769843,8560786
424,5609097,7614627,8259582,22225768,6297371
425,5609608,5584157,35693085,20419305,6553302
426,5610714,29040534,29040752,29040758,33764382
427,5645349,11865064,1599599,4828432,4802295
428,5650675,13704809,13874038,7900299,8540163
429,5652706,14524386,9669164,14524929,16548229
430,5667427,5436010,29581333,13094043,29663028
431,5676325,8839856,6469942,27501982,38758889
432,5704432,13053186,24124445,33088273,23870581
433,5709242,5424565,7879020,5428153,9466660
434,5711910,24591317,8657749,35724882,5369727
435,5714743,30129230,4969777,13936031,13574617
436,5750637,16773876,5272598,6440242,5042231
437,5787221,38080105,29850199,30894928,21937326
438,5798211,21915252,8180346,5827713,6147142
439,5816693,12691911,38335156,38030062,23070535
440,5819462,14717542,33953891,1902793,24359228
441,5827713,8180346,21915252,6147142,5919270
442,5827998,5827713,6147142,8180346,21915252
443,5853047,7717118,6297371,7891758,22225768
444,5854894,8508289,6918746,11057737,38441166
445,5855352,27418165,17949590,37989109,38057160
446,5856080,16499872,13874038,15173797,5900689
447,5864798,33953891,32170082,16150642,30031199
448,5875270,26768425,16435842,14775190,8560786
449,5875532,16499872,34052197,7227077,12936984
450,5882204,10214341,21227203,18978263,27740431
451,5887567,35591003,24360251,25058953,25059372
452,5889741,13523211,5246432,11781174,33333684
453,5897641,1024986,17893265,32947749,4996744
454,5897823,6663906,32998726,33378659,24962718
455,5899156,14682068,6178568,6300043,15077998
456,5900689,17112396,24962718,4360811,18656726
457,5908083,11817134,11863888,11865360,35353728
458,5919270,6147142,5827713,21915252,8180346
459,5939811,33574408,20794954,21370642,28470742
460,5975052,15722457,16578603,32663173,38248159
461,6013152,11993987,2922184,24857166,19731540
462,6020248,14435012,6261313,5551665,36354920
463,6023517,6850935,34874957,3207194,4664392
464,6026527,6170451,8111502,8113821,19231371
465,6026528,6553302,19073773,8113569,25184205
466,6034462,14557631,16182554,22693505,35775238
467,6034863,4041554,6381495,6142181,3859180
468,6041066,20610549,26304624,27754006,35273518
469,6055601,5111893,9555530,2113778,33619991
470,6068744,33772739,6547248,14675722,36891494
471,6079533,16499872,13875517,6147142,5827713
472,6099703,4616523,4576362,35008965,4616537
473,6100964,27343211,23863811,21283595,24682695
474,6117032,36315855,6183734,13418425,22684718
475,6120794,6141976,6995482,6686851,6142390
476,6128096,6619955,6142880,6431505,7662310
477,6141976,6995482,6686851,6120794,6142390
478,6142181,6381495,6605136,6034863,7350502
479,6142390,6141976,6686851,6995482,6120794
480,6142880,6619955,30881232,6128096,12859055
481,6147142,21915252,8180346,5827713,5919270
482,6147375,36156691,36785495,29948946,14659280
483,6170451,6026527,8113712,8113893,8113821
484,6178568,6300043,15087980,15077998,6299510
485,6179573,14740975,6271100,29068591,24785585
486,6183734,13418425,7662310,22684718,13275737
487,6190850,6190850,13924029,13929091,17805144
488,6203213,19091188,13756029,38242543,3468326
489,6206621,7903503,25020069,26908425,24439214
490,6221711,12906838,9158687,30261649,18395154
491,6242964,4586160,15721063,38836039,4412603
492,6250145,7182463,20068221,38180688,37237659
493,6250660,11364861,7118321,11364449,7123932
494,6253881,8996663,12941785,17601150,6829554
495,6261313,14435012,6020248,5551665,36354920
496,6269622,15133689,6190850,14009803,13924029
497,6271100,14740975,21552874,6179573,24294968
498,6287204,28915835,27706221,31864520,18051934
499,6297371,22225768,7614627,5609097,8259582
500,6299510,15077998,15087980,6300043,6178568
501,6300043,6178568,15077998,15087980,6299510
502,6300577,5464246,7015796,9619878,16412115
503,6305559,22329509,8176609,21872033,12045687
504,6310906,17956150,22021498,22255039,22021830
505,6317686,23048720,22410924,2163108,19007966
506,6337983,7610379,9147903,7900299,30261649
507,6340570,21451399,8176323,34635836,21807803
508,6340605,24500374,35894388,23548551,28874135
509,6342987,5714743,30129230,27379875,11574540
510,6349839,9054629,27074345,7227077,21061607
511,6352091,7212903,20865905,16499872,17949590
512,6352827,19379474,23133424,20698050,31201327
513,6352835,11364449,1277919,31216096,24883645
514,6381495,6142181,6605136,6034863,7138922
515,6419148,15687109,16499872,38308020,33700555
516,6426115,16382475,14078493,18601984,23399180
517,6426551,13574617,13936031,7381770,5024661
518,6427139,28620313,14324619,35442042,38558112
519,6431505,30881232,38407910,6619955,6128096
520,6440242,5750637,16773876,5272598,5042231
521,6469942,8839856,38758889,27501982,20918452
522,6475373,8617116,11283839,11025823,26768425
523,6481052,33888989,8277151,20806898,4584539
524,6485145,4926634,6888824,33843113,13659955
525,6495539,29443536,16499872,14128000,20139209
526,6507877,26286378,38394879,11765634,27418882
527,6518372,11994037,10510548,13266699,10367479
528,6518470,19000837,38759194,6013152,28369982
529,6528111,9565472,9976083,9398808,37822043
530,6528691,29833656,3924672,38736089,38649039
531,6529707,18905203,7829853,7830012,7582910
532,6531247,31079639,33172596,31107733,6581009
533,6531497,6824319,21586338,24294873,24294525
534,6547248,14675722,33772739,20512779,11365125
535,6553302,6026528,19073773,18102244,8113569
536,6581009,6603488,32727707,6531247,30325872
